#38  ENSEMBL_ID             Ensembl Gene ID
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	(UNUSED)	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
727913	A3galt2	alpha 1,3-galactosyltransferase 2	ENCODES a protein that exhibits transferase activity, transferring glycosyl groups; INVOLVED IN glycosphingolipid biosynthetic process; lipid glycosylation; FOUND IN Golgi apparatus; vesicle; INTERACTS WITH beta-naphthoflavone; bisphenol A; cobalt dichloride	5	5	5	q36	139585640	139597893	+	147991042	148004180	+	147981004	147994143	+	727989;737633;1299594;1600115;6480464;632674;2307253	10854427;12477932;12626403;17206613		171553	A0A4Z3		AABR07049969;AABR07049970;AAHX01039821;AF248543;BC061714;CH473968;NM_138524		A0A4Z3;AAF82757;AAH61714;EDL80508;EDL80509;NP_612533	Rn.37737			LOC171553;iGb3S	alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase);alpha-1,3-galactosyltransferase 2;iGb3 synthase;isoglobotriaosylceramide synthase			APPROVED			protein-coding	ENSRNOG00000005935	PROVISIONAL	5	150671102	150683392	+	5	146933592	146945882	+
1308701	Aaas	aladin WD repeat nucleoporin	INVOLVED IN fertilization (ortholog); learning (ortholog); nucleocytoplasmic transport (ortholog); PARTICIPATES IN RNA transport pathway; ASSOCIATED WITH Achalasia Addisonianism Alacrimia Syndrome (ortholog); Esophageal Achalasia (ortholog); Prostatic Neoplasms (ortholog); FOUND IN centrosome (ortholog); cytoplasm (ortholog); membrane (ortholog); INTERACTS WITH 2,4,6-trinitrotoluene; 2,6-dinitrotoluene; 4-amino-2,6-dinitrotoluene	7	7	7	q36	129897723	129917036	-	141164476	141184631	-	141088006	141107581	-	1549858;1598407;1598514;1580655;6480464;6907045;7240710;8554872	15680696;16098009		300259	D3ZNS8		AAHX01052789;AAHX01052790;AAHX01052791;AC097309;CH474035;NM_001106795;XM_006242387;XM_008765704;XM_008765705		EDL86843;EDL86844;NP_001100265;XP_006242449;XP_008763926;XP_008763927	Rn.104730	5027921	33.MMHAP86FRC12.seq	LOC300259	Aladin;achalasia, adrenocortical insufficiency, alacrimia;achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)			APPROVED			protein-coding	ENSRNOG00000013445	PROVISIONAL	7	141733240	141751976	-	7	143937198	143956668	-
1565761	Aadacl4	arylacetamide deacetylase-like 4	ENCODES a protein that exhibits hydrolase activity (inferred); FOUND IN integral component of membrane (inferred); INTERACTS WITH bisphenol A; copper atom; copper(0)	5		5	q36	154814666	154825501	-				163091513	163102264	-	1600115;6480464			313688	D3ZTU9		AABR07050377;AAHX01040739;XM_001074331;XM_233640		XP_001074331;XP_233640				LOC313688;RGD1565761	similar to novel protein similar to esterases			APPROVED			protein-coding	ENSRNOG00000037030	MODEL	5	166360641	166370329	-	5	162676109	162688907	-
708522	Aacs	acetoacetyl-CoA synthetase	ENCODES a protein that exhibits acetoacetate-CoA ligase activity; butyrate-CoA ligase activity; INVOLVED IN adipose tissue development; cellular response to cholesterol; cellular response to glucose stimulus; PARTICIPATES IN ketone bodies metabolic pathway; butanoate metabolic pathway; ASSOCIATED WITH Diabetes Mellitus, Experimental; Obesity; FOUND IN cytosol; INTERACTS WITH (S)-nicotine; 2,3,7,8-tetrachlorodibenzodioxine; 2,4-dinitrotoluene	12	12	12	q14	32807686	32851029	-	32070250	32113971	-	32206863	32250583	-	737633;1299502;1580654;1300048;1600115;2301023;2301019;2301022;2301021;2301024;2301026;2301027;2301028;2326193;2326225;2326228;2326230;2326093;2326191;6480464;6907045;8554872	10513626;10682835;12034369;12477932;15877199;16055091;17724028;19085696;19219059;2565110;3082367;33671;3663886;6501306;6539623;8104400	26776438	65984	Q9JMI1		AAHX01072330;AAHX01072331;AAHX01072332;AB026291;AC113658;BC061803;CH473973;NM_023104		AAH61803;BAA90828;EDM13548;EDM13549;EDM13550;EDM13551;NP_075592;Q9JMI1	Rn.9215	5041964	RH129160	LOC65984	AcAc-CoA ligase;acetoacetate-CoA ligase;acetoacetyl-CoA ligase			APPROVED			protein-coding	ENSRNOG00000000967	PROVISIONAL	12	38381585	38425026	-	12	36512393	36555694	-
621601	Aagab	alpha- and gamma-adaptin binding protein	INVOLVED IN protein transport (inferred); ASSOCIATED WITH Keratoderma, Palmoplantar (ortholog); Keratosis Palmoplantaris Papulosa (ortholog); FOUND IN cytoplasm (ortholog); nucleoplasm (ortholog); INTERACTS WITH 2,4-dinitrotoluene; 2,6-dinitrotoluene; ammonium chloride	8	8	8	q24	63494062	63530985	+	67796322	67833246	+	67777269	67814192	+	619610;631945;1600115;6480464;7240710;9681734;1598407;8554872	10477754;24390136	15811338	171435	Q9R0Z7		AABR07070393;AAHX01055130;AF178669;CH473975;FQ224819;NM_134398;XM_006243223		AAD51852;EDL95775;NP_599225;Q9R0Z7;XP_006243285	Rn.163023			P34	alpha- and gamma-adaptin-binding protein p34			APPROVED			protein-coding	ENSRNOG00000008424	PROVISIONAL	8	68247462	68285999	+	8	68526063	68564604	+
2948	Aadat	aminoadipate aminotransferase	ENCODES a protein that exhibits kynurenine-oxoglutarate transaminase activity; pyridoxal phosphate binding; 2-aminoadipate transaminase activity (ortholog); INVOLVED IN tryptophan catabolic process to kynurenine; 2-oxoglutarate metabolic process (ortholog); glutamate metabolic process (ortholog); PARTICIPATES IN tryptophan metabolic pathway; 2-aminoadipic 2-oxoadipic aciduria disease pathway; glutaric aciduria type I disease pathway; ASSOCIATED WITH Liver Cirrhosis, Experimental (ortholog); FOUND IN mitochondrion; INTERACTS WITH 1-naphthyl isothiocyanate; 17beta-estradiol; 2,3,7,8-tetrachlorodibenzodioxine	16	16	16	p12	29503305	29538406	-	32845082	32885675	-	32845006	32885600	-	70068;69866;619610;737633;1600115;1300048;1580654;2290313;2290312;6480464;6907045;8554872;10402751;11081066	12477932;19826765;3400092;6466295;7493966	15489334;15880762;16258845;17024659	29416	A0A0G2K4P6;Q64602		AABR07025303;AAHX01087287;AAHX01087288;AAHX01087289;BC078864;CH474053;NM_017193;XM_006253067;Z50144	TC230508	AAH78864;CAA90507;EDL87183;EDL87184;NP_058889;Q64602;XP_006253129	Rn.11133	5070458	AI746383	Kat2	2-aminoadipate aminotransferase;2-aminoadipate transaminase;KAT/AadAT;alpha-aminoadipate aminotransferase;kynurenine aminotransferase 2;kynurenine aminotransferase II;kynurenine--oxoglutarate aminotransferase II;kynurenine--oxoglutarate transaminase 2;kynurenine--oxoglutarate transaminase II;kynurenine/alpha-aminoadipate aminotransferase, mitochondrial			APPROVED			protein-coding	ENSRNOG00000011861	PROVISIONAL	16	32665727	32705543	-	16	32832001	32868680	-
1589650	Aaed1	AhpC/TSA antioxidant enzyme domain containing 1	INVOLVED IN cellular oxidant detoxification (inferred); INTERACTS WITH 17beta-estradiol; bisphenol A; finasteride	17		17	p14	1672532	1704457	-				6336052	6370548	+	6480464			498685	D3ZAK1		AABR07026795;AAHX01089563;AAHX01089564;AAHX01089565;CH474087;NM_001109114;XM_006253495;XM_006253497;XM_017600640		EDL84433;EDL84434;EDL84435;NP_001102584;XP_006253557;XP_006253559;XP_017456129	Rn.24906	1628124;5058654	BE102255;D17Got225	LOC498685	hypothetical protein LOC498685;similar to UPF0308 protein C9orf21;thioredoxin-like protein AAED1;uncharacterized protein LOC498685			APPROVED			protein-coding	ENSRNOG00000018886	PROVISIONAL	17	1787497	1819908	-	17	1798224	1830011	-
1561459	Aamdc	adipogenesis associated, Mth938 domain containing	INVOLVED IN negative regulation of apoptotic process (ortholog); positive regulation of fat cell differentiation (ortholog); positive regulation of transcription from RNA polymerase II promoter (ortholog); FOUND IN cytoplasm (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; bisphenol A; glafenine	1		1	q32	149960470	149989795	-				154786525	154817248	-	6480464			361606	D3ZZQ4		AABR07004863;AABR07004864;AABR07071941;AAHX01007365;AAHX01007366;AAHX01007367;CH473956;NM_001108493;XM_006229768;XM_017589374		EDM18473;EDM18474;EDM18475;EDM18476;EDM18477;EDM18478;EDM18479;NP_001101963;XP_006229830;XP_017444863	Rn.145188	5026164	RH131158	LOC361606;RGD1561459	hypothetical protein LOC361606;similar to RIKEN cDNA 1810020D17;uncharacterized protein LOC361606			APPROVED			protein-coding	ENSRNOG00000012584	PROVISIONAL	1	168726362	168755990	-	1	162519513	162549211	-
2006	Aanat	aralkylamine N-acetyltransferase	ENCODES a protein that exhibits 14-3-3 protein binding; aralkylamine N-acetyltransferase activity; arylamine N-acetyltransferase activity (ortholog); INVOLVED IN circadian rhythm; photoperiodism; response to calcium ion; PARTICIPATES IN tryptophan metabolic pathway; ASSOCIATED WITH Diabetes Mellitus, Experimental; Diabetes Mellitus, Type 2; Sleep Disorders, Circadian Rhythm (ortholog); FOUND IN cytoplasm; perinuclear region of cytoplasm (ortholog); INTERACTS WITH ammonium chloride; bisphenol A; calyculin a	10	10	10	q32.2	100399613	100403925	+	106723787	106728187	+	106709371	106713683	+	70068;70285;67926;619610;632679;628397;1298610;1298540;1298611;1298603;704409;1300232;1580655;1600115;1300048;2302130;2301030;2301033;2301039;2301034;2301036;2301032;2301043;2312676;2301038;2301031;2301041;2301035;2301037;6480464;6907045;7240710;10402751;8553854	10451024;11125071;11427721;11516836;11854096;12358739;12736803;16024134;16166080;16282194;16441550;16805813;17014691;17164235;17198543;18001324;18048060;18321474;18624957;6268470;7502081;7592994;8524412;8770929;9054387	14617573;15046865;15193530;15228600;15798208;16099857;16687309;17363136;17364576;17403780;20210853;21437622;22908386;23080076;23513468;24877634;25594545	25120	Q64666		AABR07072207;AAHX01066777;AC123144;CH473948;DQ075321;NM_012818;U29664;U38306;U40803;U77455;XM_006247792;XM_006247793	TC222688	AAA92711;AAB38484;AAC52330;AAY86767;EDM06682;NP_036950;Q64666;XP_006247854;XP_006247855	Rn.88180	1626975;1630499;5028123	Aanat;D10Wox52;D11Mit102	AA-NAT;Nat4	Arylalkylamine N - acetyltransferase (Serotonin N - acetyltransferase);arylakylamine N-acetyltransferase;arylalkylamine N - acetyltransferase ;arylalkylamine N-acetyltransferase;seretonin N-acetyltransferase;serotonin N-acetyltransferase;serotonin acetylase			APPROVED			protein-coding	ENSRNOG00000011182	VALIDATED	10	105231006	105235322	+	10	105568091	105572407	+
1305520	Aak1	AP2 associated kinase 1	ENCODES a protein that exhibits AP-2 adaptor complex binding; protein serine/threonine kinase activity; Notch binding (ortholog); INVOLVED IN protein autophosphorylation; protein phosphorylation; regulation of clathrin-dependent endocytosis; FOUND IN cell leading edge; clathrin complex; terminal bouton; INTERACTS WITH 6-propyl-2-thiouracil; bisphenol A; chloroprene	4	4	4	q34	108270743	108410374	+	121252862	121334845	+	121008188	121153112	+	1600115;6480464;8554872;8553925	11877461	14617351;15057822;21802010;22445341	500244	F1LRI7;P0C1X8		AABR07061355;AABR07073039;AAHX01031379;AC112554;NM_001173450;XM_006236833;XM_006236834;XM_017592817;XM_017592818;XM_017592819;XM_017592820;XM_017592821;XM_017592822		NP_001166921;P0C1X8;XP_006236895;XP_006236896;XP_017448306;XP_017448307;XP_017448308;XP_017448309;XP_017448310;XP_017448311	Rn.203307	5047500;5047508;5055627	RH132363;RH132368;RH143910	LOC312519;LOC500244;RGD1563580	AP2-associated protein kinase 1;adaptor-associated kinase 1;similar to AP2 associated kinase 1			APPROVED			protein-coding	ENSRNOG00000018317	VALIDATED	4	183225133	183365259	+	4	118653851	118806796	+
631378	Aard	alanine and arginine rich domain containing protein	INVOLVED IN lung development; INTERACTS WITH 17alpha-ethynylestradiol; 6-propyl-2-thiouracil; ammonium chloride	7	7	7	q31	80241346	80246187	+	88366918	88371758	+	88346189	88351030	+	1304244;6480464	11997109		246323	Q91ZF7		AABR07057872;AAHX01050650;AY007690;CH473950;NM_145093		AAG15560;EDM16274;NP_659561;Q91ZF7	Rn.38451	5035502;5051557	AI229720;AV328152	A5D3;rA5D3	alanine and arginine-rich domain-containing protein			APPROVED			protein-coding	ENSRNOG00000004708	PROVISIONAL	7	92232534	92237375	+	7	91588458	91593299	+
1304832	Aars	alanyl-tRNA synthetase	ENCODES a protein that exhibits alanine-tRNA ligase activity; amino acid binding; ATP binding; INVOLVED IN alanyl-tRNA aminoacylation; cellular response to unfolded protein (ortholog); cerebellar Purkinje cell layer development (ortholog); PARTICIPATES IN alanine metabolic pathway; lactic acidosis pathway; primary hyperoxaluria type 1 disease pathway; ASSOCIATED WITH Charcot-Marie-Tooth Disease (ortholog); Charcot-Marie-Tooth Disease, Axonal, Type 2n (ortholog); EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29 (ortholog); FOUND IN cytoplasm; extracellular exosome (ortholog); membrane (ortholog); INTERACTS WITH 1,1,1-Trichloro-2-(o-chlorophenyl)-2-(p-chlorophenyl)ethane; 17alpha-ethynylestradiol; bisphenol A	19	19	19	q12	38390301	38412318	+	40957348	40979299	+	40952408	40974425	+	1600115;1580655;2302982;6480464;6907045;7240710;8554872;10402751	2040280	12477932	292023	P50475		AAHX01098394;AC111287;BC098738;CH473972;NM_001100517;XM_006255580;XM_006255581;XM_006255582;XM_006255583		AAH98738;EDL92558;NP_001093987;P50475;XP_006255642;XP_006255643;XP_006255644;XP_006255645	Rn.8645	5032169;5051459;5072918;5507561	AI316495;RH126058;RH137129;RH66606	LOC292023	alaRS;alanine--tRNA ligase;alanine--tRNA ligase, cytoplasmic;alanyl-tRNA synthetase, cytoplasmic	2298478	Eau8	APPROVED			protein-coding	ENSRNOG00000018404	PROVISIONAL	19	54018025	54040573	-	19	43193264	43215281	-
1310617	Aars2	alanyl-tRNA synthetase 2, mitochondrial	ENCODES a protein that exhibits alanine-tRNA ligase activity (ortholog); INVOLVED IN mitochondrial alanyl-tRNA aminoacylation (ortholog); mitochondrial respiratory chain complex assembly (ortholog); PARTICIPATES IN alanine metabolic pathway; lactic acidosis pathway; primary hyperoxaluria type 1 disease pathway; ASSOCIATED WITH Combined Oxidative Phosphorylation Deficiency 8 (ortholog); FOUND IN mitochondrion (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; aflatoxin B1 (ortholog); atrazine (ortholog)	9	9	9	q12	13228189	13239255	-	11083044	11093739	-	11085368	11096426	-	6480464;6907045;8554872;7240710;10402751		12477932	301254	A0A0H2UHV7;D3ZX08		AAHX01058334;AC096454;BC166719;CH473987;NM_001106891;XM_006244513;XM_006244515		AAI66719;D3ZX08;EDM18733;NP_001100361;XP_006244575;XP_006244577	Rn.109849	5067308	AU047834	LOC301254	Aarsl;AlaRS;alanine--tRNA ligase;alanine--tRNA ligase, mitochondrial;alanyl-tRNA synthetase 2, mitochondrial (putative);alanyl-tRNA synthetase like;alanyl-tRNA synthetase, mitochondrial;probable alanyl-tRNA synthetase, mitochondrial			APPROVED			protein-coding	ENSRNOG00000025808	PROVISIONAL	9	16755842	16769796	-	9	17869301	17881762	-
